City,Latitude  ,Longitude  
New Delhi,28.6°  ,77.2°  
Mumbai,19.1°  ,72.9°  
Kolkata,22.6°  ,88.4°  
Chennai,13.1°  ,80.2°  
Bangalore,12.9°  ,77.6°  
Hyderabad,17.4°  ,78.5°  
Pune,18.5°  ,73.9°  
Ahmedabad,23.0°  ,72.6°  
Jaipur,26.9°  ,75.8°  
Lucknow,26.9°  ,81.0°  
Surat,21.2°  ,72.8°  
Indore,22.7°  ,75.9°  
Patna,25.6°  ,85.2°  
Nagpur,21.1°  ,79.1°  
Chandigarh,31.7°  ,76.8°  
Guwahati,26.1°  ,91.8°  
Kochi,10.2°  ,76.2°  
Triva drum,8.5°  ,76.9°  
Visakhapat am,17.7°  ,83.3°  
Vijayawada,16.5°  ,82.3°  
Meerut,28.9°  ,77.7°  
Agra,27.2°  ,78.0°  
Kanpur,26.5°  ,81.0°  
Prayagraj,25.4°  ,81.8°  
Jamshedpur,22.8°  ,86.2°  
Ranchi,23.3°  ,85.3°  
Bhubaneswar,20.3°  ,85.8°  
Thiruvananthapuram,8.5°  ,77.0°  
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
